year,region,country,co2,ghg,population,gdp
2006,Europe & Central Asia,Slovenia,17.142,12.08,2002000.0,49665998848.0
2007,Europe & Central Asia,Slovenia,17.279,12.05,2012000.0,51871690752.0
2008,Europe & Central Asia,Slovenia,18.215999999999998,13.0,2023000.0,55143321600.0
2009,Europe & Central Asia,Slovenia,16.325,11.0,2034000.0,52803108864.0
2010,Europe & Central Asia,Slovenia,16.369,11.26,2043000.0,52372058112.0
2011,Europe & Central Asia,Slovenia,16.354,12.86,2051000.0,53204185088.0
2012,Europe & Central Asia,Slovenia,15.812999999999999,12.31,2058000.0,53345099776.0
2013,Europe & Central Asia,Slovenia,15.179,11.6,2063000.0,53505286144.0
2014,Europe & Central Asia,Slovenia,13.524000000000001,10.12,2067000.0,56434409472.0
2015,Europe & Central Asia,Slovenia,13.612,10.14,2071000.0,57726312448.0
2016,Europe & Central Asia,Slovenia,14.414000000000001,10.99,2074000.0,59161378816.0
2000,Europe & Central Asia,Spain,310.828,323.43,40825000.0,1090000000000.0
2001,Europe & Central Asia,Spain,312.737,321.27,41319000.0,1130000000000.0
2002,Europe & Central Asia,Spain,332.89300000000003,337.91,41920000.0,1190000000000.0
2003,Europe & Central Asia,Spain,336.87,347.29,42596000.0,1180000000000.0
2004,Europe & Central Asia,Spain,353.369,363.33,43308000.0,1230000000000.0
2005,Europe & Central Asia,Spain,368.056,378.35,44019000.0,1300000000000.0
2006,Europe & Central Asia,Spain,359.30199999999996,385.9,44729000.0,1420000000000.0
2007,Europe & Central Asia,Spain,367.223,401.66,45429000.0,1530000000000.0
2008,Europe & Central Asia,Spain,335.67900000000003,368.4,46069000.0,1560000000000.0
2009,Europe & Central Asia,Spain,296.597,331.71,46584000.0,1550000000000.0
2010,Europe & Central Asia,Spain,283.10900000000004,316.47,46931000.0,1520000000000.0
2011,Europe & Central Asia,Spain,284.041,316.31,47084000.0,1500000000000.0
2012,Europe & Central Asia,Spain,278.64599999999996,309.74,47063000.0,1490000000000.0
2013,Europe & Central Asia,Spain,251.97299999999998,283.47,46931000.0,1490000000000.0
2014,Europe & Central Asia,Spain,254.518,281.97,46778000.0,1520000000000.0
2015,Europe & Central Asia,Spain,271.1,292.62,46672000.0,1570000000000.0
2016,Europe & Central Asia,Spain,260.289,283.8,46634000.0,1480000000000.0
2000,Europe & Central Asia,Sweden,54.678000000000004,46.96,8882000.0,323000000000.0
2001,Europe & Central Asia,Sweden,55.65,14.74,8898000.0,317000000000.0
2002,Europe & Central Asia,Sweden,56.597,16.0,8921000.0,323000000000.0
2003,Europe & Central Asia,Sweden,57.178000000000004,17.03,8951000.0,330000000000.0
2004,Europe & Central Asia,Sweden,56.422,15.6,8991000.0,346000000000.0
2005,Europe & Central Asia,Sweden,53.785,12.27,9039000.0,343000000000.0
2006,Europe & Central Asia,Sweden,53.613,56.73,9096000.0,361000000000.0
2007,Europe & Central Asia,Sweden,52.756,54.58,9163000.0,387000000000.0
2008,Europe & Central Asia,Sweden,50.641000000000005,52.48,9236000.0,390000000000.0
2009,Europe & Central Asia,Sweden,47.068000000000005,49.44,9313000.0,375000000000.0
2010,Europe & Central Asia,Sweden,52.845,55.23,9390000.0,394000000000.0
2011,Europe & Central Asia,Sweden,48.895,51.18,9467000.0,398000000000.0
2012,Europe & Central Asia,Sweden,46.323,47.69,9543000.0,405000000000.0
2013,Europe & Central Asia,Sweden,44.738,45.92,9618000.0,406000000000.0
2014,Europe & Central Asia,Sweden,43.176,46.04,9692000.0,409000000000.0
2015,Europe & Central Asia,Sweden,43.056999999999995,45.46,9765000.0,426000000000.0
2016,Europe & Central Asia,Sweden,42.582,46.23,9836000.0,440000000000.0
2000,Europe & Central Asia,Switzerland,43.611999999999995,50.55,7144000.0,313000000000.0
2001,Europe & Central Asia,Switzerland,45.076,52.46,7179000.0,312000000000.0
2002,Europe & Central Asia,Switzerland,43.458999999999996,50.8,7220000.0,319000000000.0
2003,Europe & Central Asia,Switzerland,44.644,51.99,7268000.0,318000000000.0
2004,Europe & Central Asia,Switzerland,45.229,52.39,7324000.0,329000000000.0
2005,Europe & Central Asia,Switzerland,45.78,53.11,7387000.0,345000000000.0
2006,Europe & Central Asia,Switzerland,45.36600000000001,50.96,7458000.0,369000000000.0
2007,Europe & Central Asia,Switzerland,43.36,49.09,7537000.0,404000000000.0
2008,Europe & Central Asia,Switzerland,44.707,50.63,7623000.0,427000000000.0
2009,Europe & Central Asia,Switzerland,43.528999999999996,49.15,7714000.0,427000000000.0
2010,Europe & Central Asia,Switzerland,45.043,50.77,7809000.0,433000000000.0
2011,Europe & Central Asia,Switzerland,40.979,48.42,7907000.0,473000000000.0
2012,Europe & Central Asia,Switzerland,42.248000000000005,49.76,8008000.0,495000000000.0
2013,Europe & Central Asia,Switzerland,43.178999999999995,50.79,8109000.0,505000000000.0
2014,Europe & Central Asia,Switzerland,39.229,47.0,8206000.0,514000000000.0
2015,Europe & Central Asia,Switzerland,38.728,46.16,8297000.0,518000000000.0
2016,Europe & Central Asia,Switzerland,39.187,46.72,8380000.0,525000000000.0
2000,Europe & Central Asia,Turkey,229.791,262.94,63240000.0,803000000000.0
2001,Europe & Central Asia,Turkey,213.486,232.39,64192000.0,758000000000.0
2002,Europe & Central Asia,Turkey,220.97799999999998,242.67,65145000.0,765000000000.0
2003,Europe & Central Asia,Turkey,236.484,254.51,66089000.0,732000000000.0
2004,Europe & Central Asia,Turkey,244.46400000000003,260.87,67011000.0,825000000000.0
2005,Europe & Central Asia,Turkey,264.20099999999996,273.39,67903000.0,908000000000.0
2006,Europe & Central Asia,Turkey,281.649,277.83,68757000.0,1000000000000.0
2007,Europe & Central Asia,Turkey,312.737,307.7,69582000.0,1080000000000.0
2008,Europe & Central Asia,Turkey,309.32099999999997,306.3,70419000.0,1150000000000.0
2009,Europe & Central Asia,Turkey,315.36,309.8,71321000.0,1130000000000.0
2010,Europe & Central Asia,Turkey,314.38,319.51,72327000.0,1250000000000.0
2011,Europe & Central Asia,Turkey,339.48199999999997,332.18,73443000.0,1400000000000.0
2012,Europe & Central Asia,Turkey,353.666,346.17,74651000.0,1490000000000.0
2013,Europe & Central Asia,Turkey,345.221,337.45,75925000.0,1560000000000.0
2014,Europe & Central Asia,Turkey,361.675,362.31,77229000.0,1650000000000.0
2015,Europe & Central Asia,Turkey,381.332,369.1,78529000.0,1720000000000.0
2016,Europe & Central Asia,Turkey,401.24,395.95,79828000.0,1570000000000.0
2000,Europe & Central Asia,Ukraine,285.33799999999997,385.47,48838000.0,218000000000.0
2001,Europe & Central Asia,Ukraine,303.561,408.8,48402000.0,233000000000.0
2002,Europe & Central Asia,Ukraine,295.675,417.04,47980000.0,243000000000.0
2003,Europe & Central Asia,Ukraine,307.019,442.5,47582000.0,270000000000.0
2004,Europe & Central Asia,Ukraine,310.365,407.32,47217000.0,298000000000.0
2005,Europe & Central Asia,Ukraine,313.12,388.14,46891000.0,346000000000.0
2006,Europe & Central Asia,Ukraine,332.673,395.81,46607000.0,385000000000.0
2007,Europe & Central Asia,Ukraine,336.366,405.23,46366000.0,439000000000.0
2008,Europe & Central Asia,Ukraine,325.535,391.78,46159000.0,473000000000.0
2009,Europe & Central Asia,Ukraine,277.295,331.88,45971000.0,403000000000.0
2010,Europe & Central Asia,Ukraine,294.079,348.01,45792000.0,423000000000.0
2011,Europe & Central Asia,Ukraine,307.95799999999997,386.44,45620000.0,471000000000.0
2012,Europe & Central Asia,Ukraine,303.965,377.12,45454000.0,489000000000.0
2013,Europe & Central Asia,Ukraine,297.295,360.89,45287000.0,499000000000.0
2014,Europe & Central Asia,Ukraine,257.58799999999997,331.75,45112000.0,464000000000.0
2015,Europe & Central Asia,Ukraine,223.91,282.2,44922000.0,419000000000.0
2016,Europe & Central Asia,Ukraine,234.204,283.72,44714000.0,429000000000.0
2000,Europe & Central Asia,United Kingdom,567.186,679.53,58923000.0,2030000000000.0
2001,Europe & Central Asia,United Kingdom,575.989,687.32,59124000.0,2090000000000.0
2002,Europe & Central Asia,United Kingdom,560.056,668.26,59326000.0,2110000000000.0
2003,Europe & Central Asia,United Kingdom,571.521,677.15,59561000.0,2120000000000.0
2004,Europe & Central Asia,United Kingdom,573.008,670.8,59873000.0,2190000000000.0
2005,Europe & Central Asia,United Kingdom,569.7,664.4,60288000.0,2290000000000.0
2006,Europe & Central Asia,United Kingdom,567.236,661.66,60821000.0,2340000000000.0
2007,Europe & Central Asia,United Kingdom,558.9590000000001,645.62,61455000.0,2340000000000.0
2008,Europe & Central Asia,United Kingdom,544.5409999999999,624.23,62145000.0,2340000000000.0
2009,Europe & Central Asia,United Kingdom,494.065,568.84,62829000.0,2230000000000.0
2010,Europe & Central Asia,United Kingdom,511.83099999999996,581.78,63460000.0,2210000000000.0
2011,Europe & Central Asia,United Kingdom,469.60900000000004,538.11,64022000.0,2220000000000.0
2012,Europe & Central Asia,United Kingdom,487.63300000000004,559.76,64525000.0,2290000000000.0
2013,Europe & Central Asia,United Kingdom,477.751,541.18,64984000.0,2430000000000.0
2014,Europe & Central Asia,United Kingdom,438.874,500.98,65423000.0,2480000000000.0
2015,Europe & Central Asia,United Kingdom,422.413,484.63,65860000.0,2530000000000.0
2016,Europe & Central Asia,United Kingdom,399.839,461.54,66298000.0,2580000000000.0
